,country_region_code,country_region,prsn_wr_rs,prsn_wr_ps,prsn_rs_ps,prsn_ps_dt,spmn_wr_rs,spmn_wr_ps,spmn_rs_ps,spmn_ps_dt,kdll_wr_rs,kdll_wr_ps,kdll_rs_ps,kdll_ps_dt,population_2019
49, 11265,Croatia,-0.8433257207386292,0.1851894416532749,-0.4316672948572696,0.9333052389490104,-0.7844222448698686,0.12073604362716772,-0.42925263381252343,0.998387554255254,-0.6367145222944122,0.16356854585887673,-0.3997683642229567,0.9865299273032878,4067500.0
50, 11500,Haiti,-0.6966239876580058,-0.10214546037698459,-0.39038542596863096,0.9830825751815022,-0.8016425866698164,0.19907793992889375,-0.33148134690024006,0.9967597946624035,-0.6274456916922435,0.23994593569503922,-0.3233141159402625,0.9852911314284515,11263077.0
51, 11735,Hungary,-0.8158712618763356,0.18228829238935695,-0.3094221037811567,0.6592739891383783,-0.8371394244231377,0.18523911995622744,-0.30975346782794067,0.9991864450886592,-0.6950856371300447,0.2163003290405571,-0.36745760259548826,0.9926853582327088,9769949.0
52, 11970,Indonesia,-0.9292471477080901,0.005056439152317011,-0.017938463134725666,0.9943187272332383,-0.8676816664397162,0.029728254228319456,-0.05156303951208392,0.9995862759439591,-0.7282476455174054,0.0769487805088427,-0.10151956384688321,0.9968812254051913,270625568.0
53, 12205,Ireland,-0.9186291355885834,-0.19759106409830263,-0.06058619224790834,0.9733866334527688,-0.9533138344782156,0.2990801830714259,-0.32733520025777607,0.9991343743118946,-0.8518048896781113,0.39494451112825774,-0.390261109511286,0.9896358160683207,4941444.0
54, 12440,Israel,-0.896228437529086,-0.14837042980480433,-0.003936420925244718,0.9865374390042375,-0.8651232456243731,-0.05425794747398795,-0.06335996121034546,0.998321192393333,-0.7083572596607337,-0.08396401080096937,-0.07928798270064433,0.988892980647032,9053300.0
55, 12675,India,-0.9784035635086427,0.18973921188294396,-0.17965632995575617,0.9921734057280586,-0.9070516098839889,0.1980121146719352,-0.12445768921781941,0.9995772574648112,-0.7982806774770156,0.30118827888153515,-0.20661246642528638,0.9965194586597462,1366417754.0
56, 12910,Iraq,-0.834654435632588,0.08541272908791155,-0.38610293682050645,0.9857778080470571,-0.7913401006346306,-0.006514908464144567,-0.20805840995445216,0.9998202595859764,-0.6505102864777497,0.039336564453424636,-0.24170489276183885,0.9976136311416113,39309783.0
57, 13145,Italy,-0.8692589749698635,0.09875327853278054,-0.41294322431610053,0.9821684276454153,-0.7697228515540161,0.30337517743218945,-0.6246237224363657,0.9999896934576646,-0.6344433213063414,0.32235310352411134,-0.5183127693127341,0.9995669433417539,60297396.0
58, 13380,Jamaica,-0.9349191483572736,-0.09299037125430833,-0.09865892949410691,0.9767196187968835,-0.8305556664127557,-0.01697075075284495,-0.2016966290993536,0.9892870726353223,-0.685986647796284,-0.017626283274617335,-0.22344448650969123,0.949417797034135,2948279.0
